Survived,Age,SibSp,Parch,Fare,male,Q,S,Pclass_2,Pclass_3
0,0.2711736617240512,0.125,0.0,0.014151057562208049,1,0,1,0,1
1,0.4722292033174164,0.125,0.0,0.13913573538264068,0,0,0,0,0
1,0.32143754712239253,0.0,0.0,0.015468569817999833,0,0,1,0,1
1,0.4345312892686604,0.125,0.0,0.10364429745562033,0,0,1,0,0
0,0.4345312892686604,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.01650950209357577,1,1,0,0,1
0,0.6732847449107816,0.0,0.0,0.10122885832000206,1,0,1,0,0
0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,1,0,1,0,1
1,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,0,0,1,0,1
1,0.17064589092736868,0.125,0.0,0.058694292654020104,0,0,0,1,0
1,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,0,0,1,0,1
1,0.723548630309123,0.0,0.0,0.051822148727810165,0,0,1,0,0
0,0.24604171902488062,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,1,0,1,0,1
0,0.17064589092736868,0.0,0.0,0.015330377421392339,0,0,1,0,1
1,0.685850716260367,0.0,0.0,0.03122992013728673,0,0,1,1,0
0,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,1,1,0,0,1
1,0.3701637353330418,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.38426740387031916,0.125,0.0,0.03513366015444757,0,0,1,0,1
1,0.31063859912427566,0.0,0.0,0.014102260811993537,0,0,0,0,1
0,0.4345312892686604,0.0,0.0,0.050748620223090936,1,0,1,1,0
1,0.4219653179190751,0.0,0.0,0.025374310111545468,1,0,1,1,0
1,0.18321186227695402,0.0,0.0,0.015671954672893913,0,1,0,0,1
1,0.34656948982156316,0.0,0.0,0.06929138530460494,1,0,1,0,0
0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,0,0,1,0,1
1,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,0,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.014102260811993537,1,0,0,0,1
0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,1,0,1,0,0
1,0.31063859912427566,0.0,0.0,0.01537917417160685,0,1,0,0,1
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,1,0,1
0,0.49736114601658704,0.0,0.0,0.05410739813385612,1,0,0,0,0
1,0.47516261447870134,0.125,0.0,0.2859895551532101,0,0,0,0,0
1,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
0,0.8240764011058055,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.34656948982156316,0.125,0.0,0.16038672010106003,1,0,0,0,0
0,0.5224930887157577,0.125,0.0,0.10149724044618187,1,0,1,0,0
1,0.31063859912427566,0.0,0.0,0.014110458666029575,1,0,0,0,1
0,0.2586076903744659,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.22090977632571,0.25,0.0,0.03513366015444757,0,0,1,0,1
1,0.17064589092736868,0.125,0.0,0.021942337075458514,0,0,0,0,1
0,0.49736114601658704,0.125,0.0,0.018493968331299484,0,0,1,0,1
0,0.33400351847197784,0.125,0.0,0.04098927018018883,0,0,1,1,0
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,0,0,1
1,0.032420206081930136,0.125,0.3333333333333333,0.08115719346076702,0,0,0,1,0
1,0.2334757476752953,0.0,0.0,0.01537917417160685,0,1,0,0,1
0,0.31063859912427566,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.31063859912427566,0.125,0.0,0.030253985132996517,1,1,0,0,1
1,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
0,0.31063859912427566,0.25,0.0,0.04231498029001666,1,0,0,0,1
0,0.22090977632571,0.125,0.0,0.034743286152731485,0,0,1,0,1
0,0.08268409148027142,0.5,0.16666666666666666,0.07746484096553544,1,0,1,0,1
0,0.2586076903744659,0.0,0.0,0.01522458606692728,1,0,1,0,1
1,0.610454888162855,0.125,0.0,0.1497654242623688,0,0,0,0,0
1,0.35913546117114853,0.125,0.0,0.050748620223090936,0,0,1,1,0
0,0.8115104297562202,0.0,0.16666666666666666,0.1209753416358076,1,0,0,0,0
1,0.47516261447870134,0.0,0.0,0.06929138530460494,1,0,1,0,0
1,0.2586076903744659,0.0,0.0,0.020494635090094415,0,0,1,1,0
0,0.35285247549635584,0.0,0.0,0.014110458666029575,1,0,0,0,1
1,0.05755214878110078,0.125,0.3333333333333333,0.05416439273810667,0,0,1,1,0
0,0.1329479768786127,0.625,0.3333333333333333,0.09154270340242172,1,0,1,0,1
0,0.2711736617240512,0.0,0.0,0.014110458666029575,1,0,0,0,1
